rank,title,artist,release,summary,metascore,userscore
35,Elephant,The White Stripes,"April 1, 2003","For their major label debut (and fourth LP overall), the Detroit-based duo of Jack and Meg White offer up 14 new tracks, all recorded in London and (fortunately) showing absolutely no trace of major label production values. Meg White takes a rare turn behind the microphone on a couple of tracks, as does guest Holly Golightly on the closing ""It's True That We Love One Another.""",92,8.6
36,We're All Alone In This Together,Dave,"July 23, 2021","The second full-length studio release for the British rapper features guest appearances from Snoh Aalegra, James Blake, Boj, Stormzy, and WizKid.",92,8.8
37,Titanic Rising,Weyes Blood,"April 5, 2019",The fourth full-length release for Natalie Mering was co-produced with Foxygen's Jonathan Rado.,91,9.0
38,Carnage,Nick Cave & Warren Ellis,"February 25, 2021",The surprise release for the latest full-length collaboration between Nick Cave and Warren Ellis was recorded over a week.,91,7.8
39,Melodrama,Lorde,"June 16, 2017",The second full-length release for the New Zealand pop singer-songwriter was produced with Jack Antonoff.,91,8.9
40,Speakerboxxx/The Love Below,Outkast,"September 23, 2003","This Grammy-winning follow-up to their smash 2000 hit 'Stankonia' is an OutKast album in name only, as it is structured in the form of two solo discs: one each for Big Boi (Speakerboxxx) and Andre 3000 (The Love Below).",91,8.7
41,Set My Heart on Fire Immediately,Perfume Genius,"May 15, 2020",The fifth full-length release for Mike Hadreas as Perfume Genius was produced with Blake Mills.,91,8.5
42,Red (Taylor's Version),Taylor Swift,"November 12, 2021","The new recording of Taylor Swift's fourth studio album features nine previously unreleased songs that include guest appearances from Phoebe Bridgers, Ed Sheeran, and Chris Stapleton.",91,9.3
43,"Home, Like Noplace Is There",The Hotelier,"February 25, 2014",This is the second full-length release for the Massachusetts indie rock quartet formerly known as The Hotel Year.,91,8.4
44,"Good Kid, M.A.A.D City",Kendrick Lamar,"October 22, 2012","The official major label debut studio album for the Compton rapper features guest appearances from Dr. Dre, Drake, Jay Rock, And MC Eiht.",91,8.9
45,A Grand Don't Come For Free,The Streets,"May 18, 2004","Mike Skinner returns with the inenviable job of following up his genre-smashing debut 'Original Pirate Material,' which was an enormous critical and commercial hit in the UK and paved the way for the success of later acts such as Dizzee Rascal.",91,7.9
46,The Myth of the Happily Ever After,Biffy Clyro,"October 22, 2021",The latest full-length release for the Scottish alternative rock band was produced with Adam Noble.,91,7.8
47,Canto,Los Super Seven,"March 13, 2001","The second release from the Latin-folk supergroup, featuring members of Los Lobos.",91,7.6
48,Grey Area,Little Simz,"March 1, 2019",The third full-length release for the British rapper Simbi Ajikawo features a guest appearances from Cleo Sol.,91,8.4
49,"Sex, Death & The Infinite Void",Creeper,"July 31, 2020",The second full-length release for the British punk rock band led by Will Gould was produced by Xandy Barry.,91,8.0
50,The ArchAndroid,Janelle Monáe,"May 18, 2010","The second full-length album for the singer born in Kansas City is a continuation of the story of Cindi Mayweather, the android introduced in the 2007 EP, ""Metropolis Suite I of IV: The Chase.""",91,8.9
51,Gold & Grey,Baroness,"June 14, 2019",The fifth full-length release for the hard rock/metal band is the first with new guitarist Gina Gleason (Peter Adams left the band in 2017).,91,7.4
52,Blue Weekend,Wolf Alice,"June 4, 2021",The third full-length release for the British rock band was produced by Markus Dravs.,91,8.9
53,The  Guitar Song,Jamey Johnson,"September 14, 2010","Jamey Johnson's latest album is a 25-track double album with the first half, The Black Album, devoted to dark emotions and the other half, the White Album, devoted to more positive songs.",91,8.0
54,Is This It?,The Strokes,"October 9, 2001","This is the debut album from New York indie-rockers The Strokes, who have been hyped by the British music press following the release of ""The Modern Age"" EP in early 2001. It almost goes without saying, but the group is frequently compared to the Velvet Underground, among others, thanks in part to singer-songwriter Julian Casablancas' Lou Reed-esque vocals.",91,9.0
55,We Got It From Here...Thank You 4 Your Service,A Tribe Called Quest,"November 11, 2016","Phife Dawg passed away in March 2016 before the final studio release for the rap group that includes guest appearances from such artists as Anderson Paak, Andre 3000, Busta Rhymes, Consequence, Elton John, Talib Kweli, Kendrick Lamar, and Jack White.",91,8.8
56,From Here We Go Sublime,The Field,"April 3, 2007","This is the full-length debut for Stockholm, Sweden trance producer Axel Willner.",90,6.7
57,Illinois,Sufjan Stevens,"July 5, 2005","The folk singer-songwriter's ambitious attempt to chronicle all 50 states in song continues with this second installment, dedicated to the Prairie State.",90,8.9
